Average arrivel rate to worker
,Worker: 1  ,Worker: 2  ,
1,1,1,
2,0,2,
3,0,1,
4,0,0,
5,2,0,
6,1,0,
7,2,0,
8,0,0,
9,0,0,
10,3,0,
11,1,0,
12,1,3,
13,0,0,
14,0,0,
15,0,0,
16,0,2,
17,0,3,
18,0,1,
19,0,0,
20,0,1,
21,0,0,
22,0,1,
23,0,1,
24,0,4,
25,0,0,
26,0,0,
27,0,0,
28,0,1,
29,1,0,
30,1,1,
31,2,0,
32,0,0,
33,1,0,
34,0,0,
35,2,1,
36,1,0,
37,1,0,
38,0,0,
39,1,0,
40,1,0,
41,1,1,
42,1,0,
43,0,1,
44,1,1,
45,0,4,
46,0,1,
47,1,1,
48,0,1,
49,0,0,
50,0,2,


